,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
109,"Parce (feat. Justin Quiles)",Maluma,1002505,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
110,"lovely (with Khalid)","Billie Eilish",1001627,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
111,ROXANNE,"Arizona Zervas",996522,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
112,"Tick Tock (feat. 24kGoldn)","Clean Bandit",996337,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
113,"Life Is Good (feat. Drake)",Future,990204,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
114,Azul,"J Balvin",986880,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
115,"In Your Eyes","The Weeknd",984348,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
116,Believer,"Imagine Dragons",977057,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
117,"Investe Em Mim","Jonas Esticado",965976,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
118,"Stunnin' (feat. Harm Franklin)","Curtis Waters",945569,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
119,"bloody valentine","Machine Gun Kelly",933207,https://open.spotify.com/track/6mADjHs6FXdroPzEGW6KVJ
120,"Say So","Doja Cat",932863,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
121,"THE SCOTTS","THE SCOTTS",924240,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
122,"TKN (feat. Travis Scott)",ROSALÍA,920872,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
123,Madrid,Maluma,919195,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
124,"Dreams - 2004 Remaster","Fleetwood Mac",918703,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
125,"Tick Tock",Joji,914251,https://open.spotify.com/track/2Imn5iTu2xD3gXCqpBqubu
126,Sanctuary,Joji,905994,https://open.spotify.com/track/5F1ZmucV0uJY14y2dYKePa
127,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",903857,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
128,"OK Not To Be OK",Marshmello,902229,https://open.spotify.com/track/0zzVTGyRrWpQu8Fr28NRAv
129,"If the World Was Ending - feat. Julia Michaels","JP Saxe",901482,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
130,Run,Joji,900110,https://open.spotify.com/track/1zmgEIHE0eXH0IhBGuoTkP
131,"Be Kind (with Halsey)",Marshmello,897399,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
132,Falling,"Harry Styles",895714,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
133,"Recairei - Ao Vivo","Os Barões Da Pisadinha",893293,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
134,"Yo Perreo Sola","Bad Bunny",882973,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
135,Daisy,Ashnikko,877509,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
136,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",874615,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
137,Safaera,"Bad Bunny",874202,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
138,"Got It On Me","Pop Smoke",870713,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
139,"I Don't Care (with Justin Bieber)","Ed Sheeran",868204,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
140,"Sunday Best",Surfaces,862232,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
141,"Pretty Boy (feat. Lil Yachty)",Joji,858919,https://open.spotify.com/track/0f1G5SHFoFC9lO03gHCGVS
142,"Martin & Gina","Polo G",858721,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
143,"Lets Link",WhoHeem,856650,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5
144,Supalonely,BENEE,856330,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
145,"Bohemian Rhapsody - 2011 Mix",Queen,854443,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
146,cardigan,"Taylor Swift",849909,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
147,"everything i wanted","Billie Eilish",849273,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
148,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,847154,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
149,"After Party","Don Toliver",845885,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
150,"Quiéreme Mientras Se Pueda","Manuel Turizo",840239,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
151,"Jocelyn Flores",XXXTENTACION,832475,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
152,"Shape of You","Ed Sheeran",832468,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
153,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",831732,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
154,Afterthought,Joji,828661,https://open.spotify.com/track/1ggYjU6zdFHgANcku82boU
155,"El Mismo Aire - con Pablo Alborán",Camilo,826315,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
156,Perfect,"Ed Sheeran",825565,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
157,"Say You Won't Let Go","James Arthur",822507,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
158,"7 rings","Ariana Grande",817784,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
159,Rojo,"J Balvin",813962,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
160,"All Girls Are The Same","Juice WRLD",810164,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
161,"Tap In",Saweetie,809264,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
162,"Godzilla (feat. Juice WRLD)",Eminem,804383,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
163,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,803619,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
164,"Play Date","Melanie Martinez",801740,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
165,SAD!,XXXTENTACION,786435,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
166,"rockstar (feat. 21 Savage)","Post Malone",786180,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
167,"hot girl bummer",blackbear,783732,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
168,"feel something","Bea Miller",783566,https://open.spotify.com/track/7JDWhC422Gtk1Bq0mL3OTC
169,+Linda,Dalex,779483,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
170,"Someone To You",BANNERS,777716,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
171,"my future","Billie Eilish",773648,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
172,"Beautiful People (feat. Khalid)","Ed Sheeran",756985,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
173,"24 (feat. Lil Baby)","Money Man",755204,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
174,"CÓMO SE SIENTE - Remix","Jhay Cortez",754213,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
175,"Lose Control",MEDUZA,754009,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
176,"drunk face","Machine Gun Kelly",751678,https://open.spotify.com/track/3k0YJnqMKRZb8swo86vCkq
177,Upgrade,Joji,749514,https://open.spotify.com/track/1FQpGAJiQgVd65IIBYkRVP
178,"Over Now (with The Weeknd)","Calvin Harris",747799,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
179,"Like You Do",Joji,746995,https://open.spotify.com/track/3xo4Q43ei0ypZOvd2W1IqZ
180,"Sweater Weather","The Neighbourhood",746842,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
181,NITROUS,Joji,746723,https://open.spotify.com/track/2iES5ck2jsznpywJWMMzWR
182,"All of Me","John Legend",746446,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
183,"Tak Tiki Tak","Harry Nach",733284,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
184,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,729499,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
185,"Lose Somebody",Kygo,729458,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
186,Happier,Marshmello,728472,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
187,"Are You Bored Yet? (feat. Clairo)",Wallows,727392,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
188,"Quero Você do Jeito Que Quiser","Marília Mendonça",720741,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
189,Secrets,Regard,719451,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
190,"No Guidance (feat. Drake)","Chris Brown",717054,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
191,"Desce Pro Play (PA PA PA)","Mc Zaac",716540,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
192,"High Hopes (feat. Omar Apollo)",Joji,714039,https://open.spotify.com/track/5dl8x4xLEzZC0f927WBTUG
193,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",713494,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
194,"WHATS POPPIN","Jack Harlow",711306,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
195,"Comprei um Lança","Mc Jacare",710110,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
196,"Normal People (feat. rei brown)",Joji,709146,https://open.spotify.com/track/0QDBNUrc51sGxzmMTvH5kF
197,September,"Earth, Wind & Fire",708817,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
198,"Without Me",Halsey,705677,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
199,"So Voce","MC Rogerinho",705139,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
200,"Sogra - Ao Vivo",Dilsinho,705043,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
